Date,Open,High,Low,Close,Adj Close,TotalVolume
6/16/2014,206.76,225.49,206.26,224.61,,13246352
6/17/2014,224.11,235.54,222.85,231.67,,13304907
6/18/2014,231.5,231.71,226.12,227.12,,6947053
6/19/2014,228.88,235.31,227,227.79,,8801907
6/20/2014,228.52,231.29,226.2,229.59,,4908077
6/23/2014,229.51,238.99,228.22,237.22,,7800189
6/24/2014,238.97,241.88,231.63,232.5,,8081109
6/25/2014,233.05,237.55,230.24,236.89,,5803257
6/26/2014,237.17,240.4,234.21,235.6,,5122972
6/27/2014,234.69,240,234.5,239.06,,5638787
6/30/2014,239.55,244.49,239,240.06,,4833602
7/1/2014,242.46,243.44,238.7,239.72,,4341242
7/2/2014,240.66,242.33,227.07,229.43,,8035072
7/3/2014,231.29,231.9,224,229.25,,5166716
7/7/2014,227.5,229.78,220.4,222.66,,5901080
7/8/2014,218.65,220.96,214.27,219.07,,7846165
7/9/2014,221.27,224.22,219.21,223.06,,4117729
7/10/2014,217.18,222.22,216.04,219.46,,4865246
7/11/2014,220.61,221.6,217.6,218.13,,3307113
7/14/2014,219.99,228.79,215.45,226.7,,7208573
7/15/2014,226.73,227.65,218.1,219.58,,5732031
7/16/2014,221.82,224.8,216.82,217.16,,4051097
7/17/2014,216.16,220.55,213.6,215.4,,4650956
7/18/2014,215.95,221.21,215.93,220.02,,4260618
7/21/2014,217.25,223.21,216.72,220.54,,3825251
7/22/2014,222.19,223.3,219.11,219.58,,2732485
7/23/2014,220.01,224.75,219.43,222.49,,3088731
7/24/2014,223.25,225.1,220.8,223.54,,3248410
7/25/2014,222.72,226.97,221.75,223.57,,3090383
7/28/2014,224.25,232,221.4,224.82,,6517611
7/29/2014,226.61,228.3,224.86,225.01,,3387187
7/30/2014,221.92,229.6,221.04,228.92,,4927823
7/31/2014,229.26,231.4,221.5,223.3,,7749058
8/1/2014,226.09,237.5,226,233.27,,11898133
8/4/2014,234.38,240.5,233.27,238.52,,5967406
8/5/2014,237.47,242.99,235.69,238.49,,5388581
8/6/2014,238.9,251.42,238.58,248.93,,9249265
8/7/2014,250.12,256.69,249.12,252.39,,7478926
8/8/2014,251.16,251.76,246.5,248.13,,5099061
8/11/2014,255.48,263.74,255,259.32,,8101276
8/12/2014,258.08,260.3,254.58,259.96,,6390412
8/13/2014,262.01,265.64,259.61,260.31,,6932628
8/14/2014,262.49,263,258.54,261.38,,4126634
8/15/2014,261.48,262.09,258.5,262.01,,3867874
8/18/2014,263.25,267.26,259.75,259.94,,5849231
8/19/2014,258.87,259.33,251.62,256.76,,5340136
8/20/2014,254.67,258.74,253,255.71,,3027863
8/21/2014,256.52,258.8,253.26,254.34,,2919241
8/22/2014,254.54,256.95,252.61,256.78,,2836959
8/25/2014,258.19,263.68,258.19,262.55,,4318053
